ID	STUDENTS	SYNC	IMPORTANCE	TOPIC	SUBTOPIC	CONCEPT	QUESTION	ANSWER	COMPLEMENTARY INFO	DETAILED INFO	EXAMPLE 1	EXAMPLE 2	MNEMONIC	HTML IMAGE	HTML VIDEO	BOARDS	LAST YEAR IN EXAM	CAREERS	OTHER TAGS	EXTRA FIELD 1	EXTRA FIELD 2	EXTRA FIELD 3
001	John	yes	High	Geography	Capitals	Capital of country	What is the capital of Brazil?	Brasília	Brasília was founded in 1960	The federal capital of Brazil is Brasília	Pilot Plan	Federal District	National Congress	<img src="https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Bras%C3%ADlia_Congresso.jpg/320px-Bras%C3%ADlia_Congresso.jpg" width="250">		FCC	2023	Public Exam	brazil;capital;geography			
002		yes	Medium	History	Republic	First ruler	Who was the first president of Brazil?	Deodoro da Fonseca	Deodoro da Fonseca was the first president	Governed from 1889 to 1891	Old Republic	Proclamation of the Republic	Marshal Deodoro		<iframe width="560" height="315" src="https://www.youtube.com/embed/exemplo" frameborder="0" allowfullscreen></iframe>	CESPE	2022	Public Exam	history;presidents;brazil			
003		no	Low	Chemistry	General Chemistry	Molecular formula	What is the chemical formula of water?	H2O	H2O is the chemical formula of water	Composed of 2 hydrogen atoms and 1 oxygen atom	Polar molecule	Covalent bond	Melting point 0°C	<img src="https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Water_molecule.svg/256px-Water_molecule.svg.png" width="150">		VUNESP	2021	High School	chemistry;water;formula			
004	Mary		High	Astronomy	Solar System	Largest planet	What is the largest planet in the solar system?	Jupiter	Jupiter is the largest planet	Gaseous planet with the highest mass	Great Red Spot	Galilean moons	Asteroid belt			FGV	2023	Public Exam	astronomy;planets;jupiter			
005		yes	High	Physics	Optics	Physical constant	What is the speed of light?	299,792,458 m/s	299,792,458 m/s in a vacuum	Maximum speed in the universe	Relativity theory	Einstein	Physical constant			CESPE	2022	Higher Ed	physics;light;velocity			
006			Medium	Geography	European Capitals	Capital of country	What is the capital of France?	Paris	Paris is the capital of France	City of Light in Europe	Eiffel Tower	Louvre Museum	Seine River	<a href="https://www.paris.fr"><img src="https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/240px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg" width="200"></a>		FCC	2020	Public Exam	geography;europe;capital			
007		YES	Low	Chemistry	Periodic Table	Chemical symbol	What is the chemical symbol for gold?	Au	Au comes from the Latin aurum	Precious metal atomic number 79	Goldsmith	Jewelry	Value reserve			VUNESP	2023	High School	chemistry;gold;symbol			
008			Low	Geography	Continents	Number of continents	How many continents are there?	6 continents	Traditionally there are 6 continents	Asia, Africa, America, Europe, Oceania, Antarctica	Pangea	Continental drift	Tectonic plates			FGV	2021	Elementary	geography;continents;world			
009	Peter	YES	High	Geography	Capitals	Federal Capital	What is the capital of Brazil (student test)?	Brasília	Brasília is the federal capital of Brazil	The federal capital of Brazil is Brasília since 1960	Pilot Plan	Federal District	National Congress			FCC	2023	Public Exam	brazil;geography			
010	Belle	YES	High	Geography	Capitals	Europe Capital	What is the capital of France (with student Belle)?	Paris	Paris is the capital of France	City of Light in Europe	Eiffel Tower	Louvre Museum	Seine River			High	france;geography				
